order_id,customer_id,invoice_id,order_date,shipment_date,order_amount,tax_amount,total_amount,status,sales_rep_id,currency,shipping_address,purchase_order_number
ORD0000001,CUST000001,INV0000001,2025-02-11,2025-02-17,296255.97,82951.67,379207.64,Completed,REP000012,INR,24, MG Road, Mumbai,PO-471556
ORD0000002,CUST000001,INV0000002,2024-12-19,2024-12-20,392552.49,47106.30,439658.79,Completed,REP000015,INR,24, MG Road, Mumbai,PO-408777
ORD0000003,CUST000001,INV0000003,2024-12-10,2024-12-19,201799.18,24215.90,226015.08,Completed,REP000011,INR,24, MG Road, Mumbai,PO-337153
ORD0000004,CUST000001,INV0000004,2025-01-20,2025-01-21,420635.19,50476.22,471111.41,Completed,REP000004,INR,24, MG Road, Mumbai,PO-517744
ORD0000005,CUST000001,INV0000005,2024-11-22,2024-11-24,243867.15,43896.09,287763.24,Completed,REP000012,INR,24, MG Road, Mumbai,PO-962934
ORD0000006,CUST000001,INV0000006,2025-03-24,2025-03-26,440104.47,52812.54,492917.01,Delivered,REP000032,INR,24, MG Road, Mumbai,PO-525966
ORD0000011,CUST000002,INV0000011,2025-01-11,2025-01-14,44730.29,2236.51,46966.80,Completed,REP000031,INR,13, MG Road, Delhi,PO-561076
ORD0000012,CUST000002,INV0000012,2024-11-17,2024-11-30,40458.18,11328.29,51786.47,Completed,REP000037,INR,13, MG Road, Delhi,PO-810962
ORD0000013,CUST000002,INV0000013,2024-11-11,2024-11-14,34528.85,4143.46,38672.31,Completed,REP000016,INR,13, MG Road, Delhi,PO-889114
ORD0000014,CUST000002,INV0000014,2025-04-12,2025-04-16,59455.92,2972.80,62428.72,In Transit,REP000028,INR,13, MG Road, Delhi,PO-299848
ORD0000015,CUST000002,INV0000015,2025-03-13,2025-03-15,11451.10,572.56,12023.66,In Transit,REP000028,INR,13, MG Road, Delhi,PO-804544
ORD0000016,CUST000002,INV0000016,2024-11-01,2024-11-04,42252.55,7605.46,49858.01,Completed,REP000001,INR,13, MG Road, Delhi,PO-939697
ORD0000021,CUST000003,INV0000021,2025-03-10,2025-03-14,450554.09,81099.74,531653.83,Delivered,REP000037,INR,99, MG Road, Bangalore,PO-929269
ORD0000022,CUST000003,INV0000022,2025-02-13,2025-02-20,987742.91,118529.15,1106272.06,Completed,REP000010,INR,99, MG Road, Bangalore,PO-156447
ORD0000023,CUST000003,INV0000023,2025-02-14,2025-02-20,548161.98,153485.35,701647.33,Completed,REP000005,INR,99, MG Road, Bangalore,PO-952418
ORD0000031,CUST000004,INV0000031,2025-01-27,2025-01-31,69138.97,8296.68,77435.65,Completed,REP000048,INR,86, MG Road, Hyderabad,PO-499729
ORD0000032,CUST000004,INV0000032,2024-12-03,2024-12-04,69366.50,12485.97,81852.47,Completed,REP000045,INR,86, MG Road, Hyderabad,PO-182632
ORD0000033,CUST000004,INV0000033,2024-11-20,2024-11-25,43465.70,12170.40,55636.10,Completed,REP000007,INR,86, MG Road, Hyderabad,PO-744474
ORD0000034,CUST000004,INV0000034,2025-03-02,2025-03-07,84561.46,15221.06,99782.52,Delivered,REP000007,INR,86, MG Road, Hyderabad,PO-416296
ORD0000035,CUST000004,INV0000035,2024-10-31,2024-11-09,15400.94,2772.17,18173.11,Completed,REP000006,INR,86, MG Road, Hyderabad,PO-421986
ORD0000041,CUST000005,INV0000041,2025-01-20,2025-01-27,355728.14,64031.07,419759.21,Completed,REP000013,INR,19, MG Road, Chennai,PO-544224
ORD0000042,CUST000005,INV0000042,2025-02-03,2025-02-09,103683.21,29031.30,132714.51,Completed,REP000047,INR,19, MG Road, Chennai,PO-918821
ORD0000043,CUST000005,INV0000043,2025-01-18,2025-01-19,119308.58,33406.40,152714.98,Completed,REP000009,INR,19, MG Road, Chennai,PO-244367
ORD0000051,CUST000006,INV0000051,2025-02-20,2025-02-21,399821.19,19991.06,419812.25,Completed,REP000018,INR,15, MG Road, Kolkata,PO-962718
ORD0000052,CUST000006,INV0000052,2025-03-01,2025-03-04,131829.80,15819.58,147649.38,Completed,REP000001,INR,15, MG Road, Kolkata,PO-672704
ORD0000053,CUST000006,INV0000053,2024-11-02,2024-11-10,185993.53,22319.22,208312.75,Completed,REP000036,INR,15, MG Road, Kolkata,PO-329156
ORD0000054,CUST000006,INV0000054,2025-01-22,2025-01-25,289996.58,81199.04,371195.62,Completed,REP000025,INR,15, MG Road, Kolkata,PO-254172
ORD0000055,CUST000006,INV0000055,2025-03-27,2025-03-28,372848.68,67112.76,439961.44,Processing,REP000001,INR,15, MG Road, Kolkata,PO-638152
ORD0000061,CUST000007,INV0000061,2025-02-24,2025-02-25,388624.76,69952.46,458577.22,Completed,REP000050,INR,23, MG Road, Pune,PO-787709
ORD0000062,CUST000007,INV0000062,2025-03-25,2025-03-30,76058.06,9126.97,85185.03,Delivered,REP000023,INR,23, MG Road, Pune,PO-169249
ORD0000063,CUST000007,INV0000063,2024-10-26,2024-10-28,461898.30,55427.80,517326.10,Completed,REP000033,INR,23, MG Road, Pune,PO-705043
ORD0000064,CUST000007,INV0000064,2025-01-06,2025-01-07,68656.46,12358.16,81014.62,Completed,REP000005,INR,23, MG Road, Pune,PO-523169
ORD0000065,CUST000007,INV0000065,2025-02-24,2025-03-04,117777.54,21199.96,138977.50,Completed,REP000045,INR,23, MG Road, Pune,PO-592303
ORD0000066,CUST000007,INV0000066,2025-01-27,2025-01-29,277261.25,33271.35,310532.60,Completed,REP000019,INR,23, MG Road, Pune,PO-886387
ORD0000067,CUST000007,INV0000067,2024-11-11,2024-11-14,256124.25,46102.36,302226.61,Completed,REP000044,INR,23, MG Road, Pune,PO-507507
ORD0000071,CUST000008,INV0000071,2025-03-27,2025-03-30,279433.11,33531.97,312965.08,In Transit,REP000026,INR,89, MG Road, Ahmedabad,PO-994361
ORD0000072,CUST000008,INV0000072,2024-11-28,2024-12-02,470679.12,84722.24,555401.36,Completed,REP000004,INR,89, MG Road, Ahmedabad,PO-604198
ORD0000073,CUST000008,INV0000073,2025-01-22,2025-01-30,356379.89,42765.59,399145.48,Completed,REP000046,INR,89, MG Road, Ahmedabad,PO-466968
ORD0000081,CUST000009,INV0000081,2025-01-22,2025-02-04,77095.95,13877.27,90973.22,Completed,REP000025,INR,76, MG Road, Jaipur,PO-161779
ORD0000082,CUST000009,INV0000082,2025-01-13,2025-01-24,157285.84,18874.30,176160.14,Completed,REP000015,INR,76, MG Road, Jaipur,PO-191317
ORD0000083,CUST000009,INV0000083,2024-12-08,2024-12-11,434070.92,21703.55,455774.47,Completed,REP000037,INR,76, MG Road, Jaipur,PO-138191
ORD0000084,CUST000009,INV0000084,2024-12-21,2024-12-29,412624.47,74272.40,486896.87,Completed,REP000025,INR,76, MG Road, Jaipur,PO-899283
ORD0000085,CUST000009,INV0000085,2024-12-17,2024-12-19,131239.82,23623.17,154862.99,Completed,REP000026,INR,76, MG Road, Jaipur,PO-831443
ORD0000091,CUST000010,INV0000091,2024-12-15,2024-12-18,79294.22,3964.71,83258.93,Completed,REP000044,INR,16, MG Road, Lucknow,PO-106401
ORD0000092,CUST000010,INV0000092,2024-10-18,2024-10-30,26992.56,3239.11,30231.67,Completed,REP000021,INR,16, MG Road, Lucknow,PO-634364
ORD0000093,CUST000010,INV0000093,2025-02-21,2025-02-24,33251.14,5985.21,39236.35,Completed,REP000023,INR,16, MG Road, Lucknow,PO-437283
ORD0000094,CUST000010,INV0000094,2024-11-14,2024-11-17,44240.48,7963.29,52203.77,Completed,REP000033,INR,16, MG Road, Lucknow,PO-934901
ORD0000101,CUST000011,INV0000101,2024-10-20,2024-10-21,126227.85,22721.01,148948.86,Completed,REP000048,INR,77, MG Road, Chandigarh,PO-897026
ORD0000102,CUST000011,INV0000102,2024-11-14,2024-11-18,215727.40,10786.37,226513.77,Completed,REP000008,INR,77, MG Road, Chandigarh,PO-376808
ORD0000103,CUST000011,INV0000103,2025-01-27,2025-01-31,129776.49,6488.82,136265.31,Completed,REP000013,INR,77, MG Road, Chandigarh,PO-703956
ORD0000104,CUST000011,INV0000104,2024-11-15,2024-11-20,442994.13,79738.94,522733.07,Completed,REP000031,INR,77, MG Road, Chandigarh,PO-342164
ORD0000105,CUST000011,INV0000105,2024-10-27,2024-11-06,422834.65,76110.24,498944.89,Completed,REP000032,INR,77, MG Road, Chandigarh,PO-691388
ORD0000106,CUST000011,INV0000106,2024-12-28,2025-01-01,404293.41,20214.67,424508.08,Completed,REP000027,INR,77, MG Road, Chandigarh,PO-786688
ORD0000111,CUST000012,INV0000111,2025-04-02,2025-04-08,167183.65,20062.04,187245.69,Delivered,REP000045,INR,82, MG Road, Indore,PO-561037
ORD0000112,CUST000012,INV0000112,2025-02-26,2025-02-27,225789.18,11289.46,237078.64,Completed,REP000050,INR,82, MG Road, Indore,PO-412735
ORD0000113,CUST000012,INV0000113,2025-02-15,2025-02-22,228829.31,41189.28,270018.59,Completed,REP000043,INR,82, MG Road, Indore,PO-697743
ORD0000114,CUST000012,INV0000114,2024-10-30,2024-11-12,197491.71,35548.51,233040.22,Completed,REP000014,INR,82, MG Road, Indore,PO-633889
ORD0000115,CUST000012,INV0000115,2025-03-29,2025-04-01,484771.25,58172.55,542943.80,Delivered,REP000031,INR,82, MG Road, Indore,PO-752207
ORD0000121,CUST000013,INV0000121,2025-03-08,2025-03-14,95881.89,17258.74,113140.63,Delivered,REP000015,INR,48, MG Road, Kochi,PO-714021
ORD0000122,CUST000013,INV0000122,2025-02-23,2025-02-27,259492.71,46708.69,306201.40,Completed,REP000003,INR,48, MG Road, Kochi,PO-597358
ORD0000123,CUST000013,INV0000123,2024-10-19,2024-10-29,194797.94,54543.42,249341.36,Completed,REP000049,INR,48, MG Road, Kochi,PO-351295
